Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
South,Thursday Week 1,Alderbury,Eyres Drive,"Eyres Drive, Alderbury",2017-11-16,Thursday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,Alderbury,School,"School, Alderbury",2017-11-16,Thursday,4,13:45,14:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 1,Alderbury,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Alderbury",2017-11-18,Saturday,4,09:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Saturday Week 3,Alderbury,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Alderbury",2017-12-02,Saturday,4,09:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Friday Week 2,All Cannings,Village Hall,"Village Hall, All Cannings",2017-11-24,Friday,4,15:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
South,Thursday Week 3,Ansty,The Maypole,"The Maypole, Ansty",2017-11-30,Thursday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Wednesday Week 4,Ashton Common,Bus stop,"Bus stop, Ashton Common",2017-11-08,Wednesday,4,15:45,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Friday Week 1,Ashton Keynes,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Ashton Keynes",2017-11-17,Friday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Ashton Keynes,Village Hall (fortnightly stop),"Village Hall (fortnightly stop), Ashton Keynes",2017-12-01,Friday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 1,Atworth,Mead Park,"Mead Park, Atworth",2017-11-14,Tuesday,4,09:45,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Tuesday Week 3,Avebury,Caravan Park,"Caravan Park, Avebury",2017-11-28,Tuesday,4,14:30,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Tuesday Week 3,Avebury,High Street,"High Street, Avebury",2017-11-28,Tuesday,4,13:55,14:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Tuesday Week 3,Avebury Trusloe,Bungalows,"Bungalows, Avebury Trusloe",2017-11-28,Tuesday,4,12:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Tuesday Week 4,Barford St Martin,St Martin’s Close,"St Martin’s Close, Barford St Martin",2017-11-07,Tuesday,4,16:15,16:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 4,Baydon,"Ermin Street, outside School","Ermin Street, outside School, Baydon",2017-11-09,Thursday,4,10:50,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,Beechingstoke,Limberstone,"Limberstone, Beechingstoke",2017-11-13,Monday,4,11:50,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Thursday Week 3,Berwick St John,Talbot Inn,"Talbot Inn, Berwick St John",2017-11-30,Thursday,4,09:50,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Tuesday Week 1,Bishopdown,Busy Bees Nursery,"Busy Bees Nursery, Bishopdown",2017-11-14,Tuesday,4,09:55,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Saturday Week 3,Bishopdown Farm,Pavilion,"Pavilion, Bishopdown Farm",2017-12-02,Saturday,4,15:20,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Tuesday Week 3,Bishops Cannings,The Street,"The Street, Bishops Cannings",2017-11-28,Tuesday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Wednesday Week 4,Bishopstone,The Styles,"The Styles, Bishopstone",2017-11-08,Wednesday,4,11:30,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Friday Week 3,Boscombe/Allington,Telephone Box,"Telephone Box, Boscombe/Allington",2017-12-01,Friday,4,10:45,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Wednesday Week 4,Bowerchalke,Village Hall,"Village Hall, Bowerchalke",2017-11-08,Wednesday,4,12:40,12:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Wednesday Week 4,Bratton,The Duke Pub,"The Duke Pub, Bratton",2017-11-08,Wednesday,4,10:40,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Thursday Week 2,Brinkworth,Little Foxes,"Little Foxes, Brinkworth",2017-11-23,Thursday,4,09:45,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Brinkworth,Village Hall,"Village Hall, Brinkworth",2017-11-23,Thursday,4,10:50,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
South,Wednesday Week 4,Britford,Shelter Barn,"Shelter Barn, Britford",2017-11-08,Wednesday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 3,Broad Hinton,Village Hall,"Village Hall, Broad Hinton",2017-11-28,Tuesday,4,15:15,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Wednesday Week 4,Broadchalke,Church Car Park,"Church Car Park, Broadchalke",2017-11-08,Wednesday,4,15:05,15:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
