Mobile,Week,Village,Stop,Arrive,Depart,StartDate,Frequency,Day
Ivybridge,1,South Brent,Old School,13:00,15:00,30/01/2017,4,Monday
Ivybridge,1,South Brent,Station Approach,15:05,15:35,30/01/2017,4,Monday
Ivybridge,1,South Brent,Exeter Road,15:40,16:10,30/01/2017,4,Monday
Ivybridge,1,Rattery,Village Hall,10:40,11:10,31/01/2017,4,Tuesday
Ivybridge,1,Dean Prior,Cross View,11:20,11:50,31/01/2017,4,Tuesday
Ivybridge,1,Buckfast,Furlong Close,12:00,12:30,31/01/2017,4,Tuesday
Ivybridge,1,Holne,Church,13:40,14:00,31/01/2017,4,Tuesday
Ivybridge,1,Aveton Gifford,Village Hall,09:30,10:30,4/01/2017,4,Wednesday
Ivybridge,1,Malborough,Square,10:55,11:40,4/01/2017,4,Wednesday
Ivybridge,1,Hope Cove,Weymouth Park,12:10,12:55,4/01/2017,4,Wednesday
Ivybridge,1,Galmpton,Galmpton,13:30,14:00,4/01/2017,4,Wednesday
Ivybridge,1,South Milton,Backshay Close,14:15,15:00,4/01/2017,4,Wednesday
Ivybridge,1,Thurlestone,Village Hall,15:10,16:10,4/01/2017,4,Wednesday
Ivybridge,1,Totnes,St John’s Court,10:00,10:30,5/01/2017,4,Thursday
Ivybridge,1,Totnes,Bridgewater Gardens,10:40,11:00,5/01/2017,4,Thursday
Ivybridge,1,Ashprington,Bus Stop,11:30,12:15,5/01/2017,4,Thursday
Ivybridge,1,Cornworthy,Village Centre,13:15,13:35,5/01/2017,4,Thursday
Ivybridge,1,Capton,Village Centre,13:50,14:10,5/01/2017,4,Thursday
Ivybridge,1,Allaleigh,Crossroads,14:20,14:50,5/01/2017,4,Thursday
Ivybridge,1,Harbertonford,Church,15:05,15:40,5/01/2017,4,Thursday
Ivybridge,1,Harbertonford,Bow Road,15:55,16:15,5/01/2017,4,Thursday
Ivybridge,2,Ugborough,Square,09:30,10:00,10/01/2017,4,Tuesday
Ivybridge,2,Diptford,Village Square,10:15,10:45,10/01/2017,4,Tuesday
Ivybridge,2,Moreleigh,End of Village (along Garabridge Road),11:00,11:20,10/01/2017,4,Tuesday
Ivybridge,2,Blackawton,War Memorial,11:55,12:40,10/01/2017,4,Tuesday
Ivybridge,2,Slapton,Greenbank,13:30,14:00,10/01/2017,4,Tuesday
Ivybridge,2,Torcross,Bus Stop,14:10,14:30,10/01/2017,4,Tuesday
Ivybridge,2,Stokenham,Village Hall,14:40,15:25,10/01/2017,4,Tuesday
Ivybridge,2,Beesands,The Chapel,15:35,16:05,10/01/2017,4,Tuesday
Ivybridge,2,Milton Abbot,School,10:15,11:00,11/01/2017,4,Wednesday
Ivybridge,2,Lifton,Church,11:30,12:15,11/01/2017,4,Wednesday
Ivybridge,2,Lewdown,War Memorial,12:30,13:00,11/01/2017,4,Wednesday
Ivybridge,2,Boasley Cross,School,14:00,14:30,11/01/2017,4,Wednesday
Ivybridge,2,Bratton Clovelly,Village,14:45,16:00,11/01/2017,4,Wednesday
Ivybridge,2,Horrabridge,London Inn,11:00,11:30,12/01/2017,4,Thursday
Ivybridge,2,Dousland,Iron Mine Lane,11:45,12:15,12/01/2017,4,Thursday
Ivybridge,2,Yelverton Briar,Tor,13:15,13:45,12/01/2017,4,Thursday
Ivybridge,2,Crapstone,Pilchers Field,13:50,14:20,12/01/2017,4,Thursday
Ivybridge,2,Buckland Monachorum,School,14:30,15:00,12/01/2017,4,Thursday
Ivybridge,2,Milton Combe,Milton Combe,15:10,15:40,12/01/2017,4,Thursday
Ivybridge,2,Woolwell,Shopping Parade,09:45,11:15,13/01/2017,4,Friday
Ivybridge,2,Hoo Meavy,Hoo Meavy,11:30,11:50,13/01/2017,4,Friday
Ivybridge,2,Whitchurch,Friars Walk,12:05,12:35,13/01/2017,4,Friday
Ivybridge,2,Sampford Spiney,Brook Cottage,13:00,13:30,13/01/2017,4,Friday
Ivybridge,2,Modbury,Poundwell Square,09:30,12:30,14/01/2017,4,Saturday
Ivybridge,3,Newton Ferrers,Yealm Road,10:30,12:30,16/01/2017,4,Monday
Ivybridge,3,Noss Mayo,Tennis Courts,13:30,15:00,16/01/2017,4,Monday
Ivybridge,3,Battisborough Cross,Old Post Office,15:10,15:40,16/01/2017,4,Monday
Ivybridge,3,Holbeton,Village Hall,15:50,16:35,16/01/2017,4,Monday
Ivybridge,3,Bere Alston,Alexander Drive,10:00,10:30,17/01/2017,4,Tuesday
Ivybridge,3,Bere Alston,The Village Hall,10:35,11:55,17/01/2017,4,Tuesday
Ivybridge,3,Weir Quay,Weir Quay,12:10,12:30,17/01/2017,4,Tuesday
Ivybridge,3,Bere Ferrers,War Memorial,13:45,14:30,17/01/2017,4,Tuesday
Ivybridge,3,Bere Ferrers,Social Club,14:35,15:05,17/01/2017,4,Tuesday
Ivybridge,3,Wheal Maria,Wheal Maria,15:30,16:00,17/01/2017,4,Tuesday
Ivybridge,3,Peter Tavy,Church Lane entrance,10:00,10:30,18/01/2017,4,Wednesday
Ivybridge,3,Mary Tavy,Bus Stop,10:45,11:10,18/01/2017,4,Wednesday
Ivybridge,3,Mary Tavy,School,11:15,11:45,18/01/2017,4,Wednesday
Ivybridge,3,Lydford,War Memorial,12:00,12:30,18/01/2017,4,Wednesday
Ivybridge,3,Lydford,School,13:45,14:15,18/01/2017,4,Wednesday
Ivybridge,3,Bridestowe,Cocksheath Cross,14:30,14:50,18/01/2017,4,Wednesday
Ivybridge,3,Bridestowe,White Hart,15:05,16:00,18/01/2017,4,Wednesday
Ivybridge,3,Yealmpton,Rose & Crown,09:30,11:30,19/01/2017,4,Thursday
Ivybridge,3,Wembury,Recreation Ground Car Park,11:55,12:55,19/01/2017,4,Thursday
Ivybridge,3,Wembury,Southland Park Road - Bottom,13:30,14:30,19/01/2017,4,Thursday
Ivybridge,3,Wembury,Hawthorne Drive,14:35,15:35,19/01/2017,4,Thursday
Ivybridge,3,Brixton,Venn Court,15:55,16:30,19/01/2017,4,Thursday
Ivybridge,4,Ermington,Fawns Close,09:40,10:10,24/01/2017,4,Tuesday
Ivybridge,4,Flete House,Flete House,10:15,10:35,24/01/2017,4,Tuesday
Ivybridge,4,Kingston,Fire Station,11:00,11:40,24/01/2017,4,Tuesday
Ivybridge,4,Ringmore,Church,11:50,12:20,24/01/2017,4,Tuesday
