Mobile,Route,Stop,Community,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
Bath and North East Somerset,Day 1,Combe Down,Hawthorn Grove,Hawthorn Grove Combe Down,-2.3620505939439638,51.35995540103806,,Monday,2,10:00,10:45,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 1,Combe Down,The Firs,The Firs Combe Down,-2.3472917203766834,51.3606724985936,,Monday,2,11:00,13:00,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 1,Combe Down,The Firs,The Firs Combe Down,-2.3472917203766834,51.3606724985936,,Monday,2,14:00,16:45,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,PSJ,Beacon Hall,Beacon Hall PSJ,-2.420657815086641,51.315401610524546,,Tuesday,2,10:00,10:20,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,Wellow,Village Hall,Village Hall Wellow,-2.37749903435881,51.32263585881716,,Tuesday,2,10:35,10:50,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,Wellow,Manor Close and school,Manor Close and school Wellow,-2.3748108172828903,51.323787655129486,,Tuesday,2,10:35,11:30,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,Radstock,Writhlington Hanover Court,Writhlington Hanover Court Radstock,-2.431306337804254,51.28971967054287,,Tuesday,2,11:45,12:15,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,PSJ,Hillcrest,Hillcrest PSJ,-2.4309540034253354,51.31568336282971,,Tuesday,2,13:40,13:58,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,PSJ,Camvale,Camvale PSJ,-2.4330119874359384,51.31854378134742,,Tuesday,2,14:00,14:30,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
Bath and North East Somerset,Day 2,PSJ,School,School PSJ,-2.4299321037752515,51.31453317309913,,Tuesday,2,14:35,15:40,http://www.bathnes.gov.uk/services/libraries-and-archives/access-all/mobile-library-routes/mobile-library-route-review
